gene_name	alt_name	target_introns	other_info
ABL1			
CALR			
CYP17A1			
FGFR4			
KDM6A			
MYCL	MYCL1		
POLD1			
SMAD4			
ACVR1B			
CARD11			
DAXX			
FH			
KDR			
MYCN			
POLE			
SMARCA4			
AKT1			
CASP8			
DDR1			
FLCN			
KEAP1			
MYD88			
PPARG			
SMARCB1			
AKT2			
CBFB			
DDR2			
FLT1			
KEL			
NBN			
PPP2R1A			
SMO			
AKT3			
CBL			
DIS3			
FLT3			
KIT			
NF1			
PPP2R2A			
SNCAIP			
ALK			
CCND1			
DNMT3A			
FOXL2			
KLHL6			
NF2			
PRDM1			
SOCS1			
ALOX12B			
CCND2			
DOT1L			
FUBP1			
KMT2A	MLL		
NFE2L2			
PRKAR1A			
SOX2			
AMER1	FAM123B		
CCND3			
EED			
GABRA6			
KMT2D	MLL2		
NFKBIA			
PRKCI			
SOX9			
APC			
CCNE1			
EGFR			
GATA3			
KRAS			
NKX2-1			
PTCH1			
SPEN			
AR			
CD22			
EP300			
GATA4			
LTK			
NOTCH1			
PTEN			
SPOP			
ARAF			
CD274	PD-L1		
EPHA3			
GATA6			
LYN			
NOTCH2			
PTPN11			
SRC			
ARFRP1			
CD70			
EPHB1			
GNA11			
MAF			
NOTCH3			
PTPRO			
STAG2			
ARID1A			
CD79A			
EPHB4			
GNA13			
MAP2K1	MEK1		
NPM1			
QKI			
STAT3			
ASXL1			
CD79B			
ERBB2			
GNAQ			
MAP2K2	MEK2		
NRAS			
RAC1			
STK11			
ATM			
CDC73			
ERBB3			
GNAS			
MAP2K4			
NSD3	WHSC1L1		
RAD21			
SUFU			
ATR			
CDH1			
ERBB4			
GRM3			
MAP3K1			
NT5C2			
RAD51			
SYK			
ATRX			
CDK12			
ERCC4			
GSK3B			
MAP3K13			
NTRK1			
RAD51B			
TBX3			
AURKA			
CDK4			
ERG			
H3F3A			
MAPK1			
NTRK2			
RAD51C			
TEK			
AURKB			
CDK6			
ERRFI1			
HDAC1			
MCL1			
NTRK3			
RAD51D			
TERC			ncRNA
AXIN1			
CDK8			
ESR1			
HGF			
MDM2			
P2RY8			
RAD52			
TERT			Promoter
AXL			
CDKN1A			
EZH2			
HNF1A			
MDM4			
PALB2			
RAD54L			
TET2			
BAP1			
CDKN1B			
FAM46C			
HRAS			
MED12			
PARK2			
RAF1			
TGFBR2			
BARD1			
CDKN2A			
FANCA			
HSD3B1			
MEF2B			
PARP1			
RARA			
TIPARP			
BCL2			
CDKN2B			
FANCC			
ID3			
MEN1			
PARP2			
RB1			
TNFAIP3			
BCL2L1			
CDKN2C			
FANCG			
IDH1			
MERTK			
PARP3			
RBM10			
TNFRSF14			
BCL2L2			
CEBPA			
FANCL			
IDH2			
MET			
PAX5			
REL			
TP53			
BCL6			
CHEK1			
FAS			
IGF1R			
MITF			
PBRM1			
RET			
TSC1			
BCOR			
CHEK2			
FBXW7			
IKBKE			
MKNK1			
PDCD1	PD-1		
RICTOR			
TSC2			
BCORL1			
CIC			
FGF10			
IKZF1			
MLH1			
PDCD1LG2	PD-L2		
RNF43			
TYRO3			
BRAF			
CREBBP			
FGF12			
INPP4B			
MPL			
PDGFRA			
ROS1			
U2AF1			
BRCA1		2,7,8,12,16,19,20	
CRKL			
FGF14			
IRF2			
MRE11A			
PDGFRB			
RPTOR			
VEGFA			
BRCA2		2	
CSF1R			
FGF19			
IRF4			
MSH2			
PDK1			
SDHA			
VHL			
BRD4			
CSF3R			
FGF23			
IRS2			
MSH3			
PIK3C2B			
SDHB			
WHSC1			
BRIP1			
CTCF			
FGF3			
JAK1			
MSH6			
PIK3C2G			
SDHC			
WT1			
BTG1			
CTNNA1			
FGF4			
JAK2			
MST1R			
PIK3CA			
SDHD			
XPO1			
BTG2			
CTNNB1			
FGF6			
JAK3			
MTAP			
PIK3CB			
SETD2			
XRCC2			
BTK			
CUL3			
FGFR1			
JUN			
MTOR			
PIK3R1			
SF3B1			
ZNF217			
C11orf30	EMSY		
CUL4A			
FGFR2			
KDM5A			
MUTYH			
PIM1			
SGK1			
ZNF703			
C17orf39	GID4		
CXCR4			
FGFR3			
KDM5C			
MYC			
PMS2			
SMAD2			
