gene_name	alt_name	region	info
ABL1		extron	
BRAF		extron	
CDKN1A		extron	
EPHA3		extron	
FGFR4		extron	
IKZF1		extron	
MCL1		extron	
NKX2-1		extron	
PMS2		extron	
RNF43		extron	
TET2		extron	
ACVR1B		extron	
BRCA1		extron	
CDKN1B		extron	
EPHB1		extron	
FH		extron	
INPP4B		extron	
MDM2		extron	
NOTCH1		extron	
POLD1		extron	
ROS1		extron	
TGFBR2		extron	
AKT1		extron	
BRCA2		extron	
CDKN2A		extron	
EPHB4		extron	
FLCN		extron	
IRF2		extron	
MDM4		extron	
NOTCH2		extron	
POLE		extron	
RPTOR		extron	
TIPARP		extron	
AKT2		extron	
BRD4		extron	
CDKN2B		extron	
ERBB2		extron	
FLT1		extron	
IRF4		extron	
MED12		extron	
NOTCH3		extron	
PPARG		extron	
SDHA		extron	
TNFAIP3		extron	
AKT3		extron	
BRIP1		extron	
CDKN2C		extron	
ERBB3		extron	
FLT3		extron	
IRS2		extron	
MEF2B		extron	
NPM1		extron	
PPP2R1A		extron	
SDHB		extron	
TNFRSF14		extron	
ALK		extron	
BTG1		extron	
CEBPA		extron	
ERBB4		extron	
FOXL2		extron	
JAK1		extron	
MEN1		extron	
NRAS		extron	
PPP2R2A		extron	
SDHC		extron	
TP53		extron	
ALOX12B		extron	
BTG2		extron	
CHEK1		extron	
ERCC4		extron	
FUBP1		extron	
JAK2		extron	
MERTK		extron	
NT5C2		extron	
PRDM1		extron	
SDHD		extron	
TSC1		extron	
AMER1		extron	
BTK		extron	
CHEK2		extron	
ERG		extron	
GABRA6		extron	
JAK3		extron	
MET		extron	
NTRK1		extron	
PRKAR1A		extron	
SETD2		extron	
TSC2		extron	
APC		extron	
C11orf30		extron	
CIC		extron	
ERRFI1		extron	
GATA3		extron	
JUN		extron	
MITF		extron	
NTRK2		extron	
PRKCI		extron	
SF3B1		extron	
TYRO3		extron	
AR		extron	
CALR		extron	
CREBBP		extron	
ESR1		extron	
GATA4		extron	
KDM5A		extron	
MKNK1		extron	
NTRK3		extron	
PTCH1		extron	
SGK1		extron	
U2AF1		extron	
ARAF		extron	
CARD11		extron	
CRKL		extron	
EZH2		extron	
GATA6		extron	
KDM5C		extron	
MLH1		extron	
P2RY8		extron	
PTEN		extron	
SMAD2		extron	
VEGFA		extron	
ARFRP1		extron	
CASP8		extron	
CSF1R		extron	
FAM46C		extron	
GID4	C17orf39	extron	
KDM6A		extron	
MPL		extron	
PALB2		extron	
PTPN11		extron	
SMAD4		extron	
VHL		extron	
ARID1A		extron	
CBFB		extron	
CSF3R		extron	
FANCA		extron	
GNA11		extron	
KDR		extron	
MRE11A		extron	
PARK2		extron	
PTPRO		extron	
SMARCA4		extron	
WHSC1		extron	
ASXL1		extron	
CBL		extron	
CTCF		extron	
FANCC		extron	
GNA13		extron	
KEAP1		extron	
MSH2		extron	
PARP1		extron	
QKI		extron	
SMARCB1		extron	
WHSC1L1		extron	
ATM		extron	
CCND1		extron	
CTNNA1		extron	
FANCG		extron	
GNAQ		extron	
KEL		extron	
MSH3		extron	
PARP2		extron	
RAC1		extron	
SMO		extron	
WT1		extron	
ATR		extron	
CCND2		extron	
CTNNB1		extron	
FANCL		extron	
GNAS		extron	
